COURSECODE,COURSENAME,REPDAY,STARTHOUR,STARTMIN,ENDHOUR,ENDMIN,LOCATION,NEWNAME
CIVE11025,Mechanics of Repairing and Strengthening Structures 5,Thursday,14,10,16,00,Kings Buildings,
CIVE11025,Mechanics of Repairing and Strengthening Structures 5,Thursday,16,10,17,00,No Location Data Available,
PHYS08046,Physics of Fields and Matter,Tuesday,09,00,09,50,No Location Data Available,
PHYS08046,Physics of Fields and Matter,Monday,09,00,09,50,No Location Data Available,
PHYS08046,Physics of Fields and Matter,Thursday,09,00,09,50,No Location Data Available,
PHYS08046,Physics of Fields and Matter,Friday,09,00,09,50,No Location Data Available,
PHYS08046,Physics of Fields and Matter,Wednesday,11,10,13,00,Kings Buildings,
PHYS08046,Physics of Fields and Matter,Wednesday,14,10,16,00,Kings Buildings,
PHYS08046,Physics of Fields and Matter,Wednesday,09,00,10,50,Kings Buildings,
PHYS11041,Nuclear Physics,Friday,09,00,09,50,Kings Buildings,
PHYS11041,Nuclear Physics,Tuesday,09,00,09,50,Kings Buildings,
PHYS11041,Nuclear Physics,Wednesday,11,10,13,00,Kings Buildings,
LATI08009,Latin 1C,Friday,10,00,10,50,Central,
LATI08009,Latin 1C,Thursday,10,00,10,50,Central,
LATI08009,Latin 1C,Tuesday,10,00,10,50,Central,
LATI08009,Latin 1C,Wednesday,10,00,10,50,Central,
HIST08012,European History 1 (VS1),Wednesday,09,00,09,50,No Location Data Available,
HIST08012,European History 1 (VS1),Tuesday,09,00,09,50,Central,
HIST08012,European History 1 (VS1),Friday,09,00,09,50,No Location Data Available,
CHEE08013,Separation Processes 2,Tuesday,14,10,17,00,No Location Data Available,
CHEE08013,Separation Processes 2,Thursday,09,00,09,50,Kings Buildings,
CHEE08013,Separation Processes 2,Tuesday,09,00,09,50,Kings Buildings,
CHEE08013,Separation Processes 2,Wednesday,12,10,13,00,No Location Data Available,
CHEE08013,Separation Processes 2,Friday,14,10,17,00,No Location Data Available,
CHEE08013,Separation Processes 2,Thursday,09,00,09,50,Kings Buildings,
CHEE08013,Separation Processes 2,Tuesday,09,00,09,50,Kings Buildings,
CHEE08013,Separation Processes 2,Wednesday,11,10,13,00,Kings Buildings,
CHEE08013,Separation Processes 2,Wednesday,11,10,12,00,Kings Buildings,
INFR10049,Agent Based Systems (Level 10),Thursday,10,00,10,50,No Location Data Available,
INFR10049,Agent Based Systems (Level 10),Monday,10,00,10,50,No Location Data Available,
PSYL08007,Psychology 1: self and society (VS1),Friday,11,10,12,00,Central,
PSYL08007,Psychology 1: self and society (VS1),Wednesday,11,10,12,00,Central,
PSYL08007,Psychology 1: self and society (VS1),Monday,11,10,12,00,Central,
SCBI08003,Chemistry for Life Sciences 2,Monday,11,10,12,00,Kings Buildings,
SCBI08003,Chemistry for Life Sciences 2,Tuesday,11,10,12,00,Kings Buildings,
SCBI08003,Chemistry for Life Sciences 2,Thursday,10,00,13,00,Kings Buildings,
SCBI08003,Chemistry for Life Sciences 2,Friday,09,00,09,50,Kings Buildings,
BITE10001,Enzymology and Biological Production,Tuesday,09,00,09,50,Kings Buildings,
BITE10001,Enzymology and Biological Production,Tuesday,10,00,10,50,Kings Buildings,
SCIL08005,Sociology 1B: The Sociological Imagination: Private Troubles Public Problems,Friday,14,00,14,50,Central,
SCIL08005,Sociology 1B: The Sociological Imagination: Private Troubles Public Problems,Tuesday,14,00,14,50,Central,
GEGR10094,Eroding Landscapes: Mountains Hills and Rivers,Thursday,16,10,18,00,No Location Data Available,
GEGR10094,Eroding Landscapes: Mountains Hills and Rivers,Thursday,14,00,15,50,No Location Data Available,
BICH10006,Biochemical Techniques,Monday,11,10,12,00,Kings Buildings,
BICH10006,Biochemical Techniques,Monday,09,00,09,50,Kings Buildings,
GREE08006,Greek 1D,Monday,11,10,12,00,Central,
GREE08006,Greek 1D,Wednesday,11,10,12,00,Central,
GREE08006,Greek 1D,Tuesday,11,10,12,00,Central,
GREE08006,Greek 1D,Thursday,11,10,12,00,Central,
MATH10018,Algebra (VS2),Monday,11,10,12,00,Kings Buildings,
MATH10018,Algebra (VS2),Thursday,09,00,09,50,Kings Buildings,
MATH10018,Algebra (VS2),Thursday,13,10,13,50,Kings Buildings,
MATH10018,Algebra (VS2),Thursday,11,10,12,00,Kings Buildings,
PHYS09023,Electronic Methods in the Physical Laboratory,Thursday,14,10,15,00,Kings Buildings,
PHYS09023,Electronic Methods in the Physical Laboratory,Friday,14,10,15,00,Kings Buildings,
PHYS09023,Electronic Methods in the Physical Laboratory,Monday,15,10,17,00,Kings Buildings,
PHYS09023,Electronic Methods in the Physical Laboratory,Thursday,15,10,17,00,Kings Buildings,
PHYS09023,Electronic Methods in the Physical Laboratory,Friday,15,10,17,00,Kings Buildings,
PHYS09023,Electronic Methods in the Physical Laboratory,Tuesday,15,10,17,00,Kings Buildings,
PHYS09023,Electronic Methods in the Physical Laboratory,Monday,14,10,15,00,Kings Buildings,
PHYS09023,Electronic Methods in the Physical Laboratory,Monday,14,10,15,00,Kings Buildings,
PHYS09023,Electronic Methods in the Physical Laboratory,Thursday,14,10,15,00,Kings Buildings,
PHYS09023,Electronic Methods in the Physical Laboratory,Friday,14,10,15,00,Kings Buildings,
PHYS09023,Electronic Methods in the Physical Laboratory,Monday,15,10,17,00,Kings Buildings,
PHYS09023,Electronic Methods in the Physical Laboratory,Thursday,15,10,17,00,Kings Buildings,
PHYS09023,Electronic Methods in the Physical Laboratory,Friday,15,10,17,00,Kings Buildings,
PHYS09023,Electronic Methods in the Physical Laboratory,Tuesday,15,10,17,00,Kings Buildings,
ARHI08004,Architectural History 1B: Revivalism to Modernism,Monday,16,10,17,00,Central,
ARHI08004,Architectural History 1B: Revivalism to Modernism,Thursday,16,10,17,00,Central,
ARHI08004,Architectural History 1B: Revivalism to Modernism,Tuesday,16,10,17,00,Central,
ENLI08015,Scottish Literature 2b (VS2),Thursday,12,10,13,00,Central,
ENLI08015,Scottish Literature 2b (VS2),Wednesday,12,10,13,00,Central,
ENLI08015,Scottish Literature 2b (VS2),Monday,12,10,13,00,Central,
LATI08012,Latin 2B,Friday,10,00,10,50,Central,
LATI08012,Latin 2B,Tuesday,10,00,10,50,Central,
LATI08012,Latin 2B,Wednesday,10,00,10,50,Central,
LATI08012,Latin 2B,Thursday,10,00,10,50,Central,
SCPL08005,Politics of the Welfare State,Monday,12,10,13,00,Central,
SCPL08005,Politics of the Welfare State,Wednesday,12,10,13,00,Central,
BIME08001,Neuroscience with Pharmacology 2,Friday,14,00,17,00,Central,
BIME08001,Neuroscience with Pharmacology 2,Friday,11,10,12,00,Kings Buildings,
BIME08001,Neuroscience with Pharmacology 2,Monday,10,00,10,50,Kings Buildings,
BIME08001,Neuroscience with Pharmacology 2,Tuesday,12,10,13,00,Kings Buildings,
BIME08001,Neuroscience with Pharmacology 2,Tuesday,14,00,17,00,Central,
LASC10061,Speech Processing (Hons),Thursday,11,10,12,00,Central,
LASC10061,Speech Processing (Hons),Monday,10,00,10,50,Central,
LASC10061,Speech Processing (Hons),Thursday,10,00,10,50,Central,
MUSI08051,Listening and Musicianship 1,Friday,12,10,13,00,Central,
MUSI08051,Listening and Musicianship 1,Friday,14,00,14,50,Central,
ECNM10034,Economic Transformation in East Asia,Monday,16,10,18,00,No Location Data Available,
ECNM10034,Economic Transformation in East Asia,Monday,16,10,18,00,No Location Data Available,
LAWS08136,Introduction to Criminal Justice,Monday,12,10,13,00,No Location Data Available,
LAWS08136,Introduction to Criminal Justice,Wednesday,12,10,13,00,No Location Data Available,
BILG08016,The Green Planet 2,Thursday,14,00,17,00,No Location Data Available,
BILG08016,The Green Planet 2,Friday,12,10,13,00,No Location Data Available,
BILG08016,The Green Planet 2,Tuesday,09,00,09,50,No Location Data Available,
BILG08016,The Green Planet 2,Thursday,13,10,13,50,No Location Data Available,
EASC09019,Earth and Planetary Structure,Tuesday,11,10,12,00,No Location Data Available,
EASC09019,Earth and Planetary Structure,Friday,11,10,12,00,No Location Data Available,
PLIT08005,Democracy in Comparative Perspective,Monday,15,00,15,50,Central,
PLIT08005,Democracy in Comparative Perspective,Thursday,15,00,15,50,Central,
PHYS08035,Mathematics for Physics 1,Tuesday,13,10,13,50,No Location Data Available,
PHYS08035,Mathematics for Physics 1,Friday,13,10,13,50,No Location Data Available,
PHYS08035,Mathematics for Physics 1,Monday,14,10,16,00,Kings Buildings,
PHYS08035,Mathematics for Physics 1,Tuesday,09,00,10,50,Kings Buildings,
PHYS08035,Mathematics for Physics 1,Thursday,14,00,15,50,Kings Buildings,
PHYS08035,Mathematics for Physics 1,Thursday,09,00,10,50,Kings Buildings,
ELEE10021,Analogue Electronics  (Project) 4,Friday,09,00,12,00,Kings Buildings,
ELEE10021,Analogue Electronics  (Project) 4,Monday,11,10,12,00,No Location Data Available,
ELEE10021,Analogue Electronics  (Project) 4,Thursday,10,00,10,50,Kings Buildings,
ELEE10021,Analogue Electronics  (Project) 4,Friday,09,00,12,00,No Location Data Available,
CHEM08017,Chemistry 1B,Monday,15,00,15,50,Kings Buildings,
CHEM08017,Chemistry 1B,Monday,14,00,14,50,Kings Buildings,
CHEM08017,Chemistry 1B,Monday,16,10,17,00,Kings Buildings,
CHEM08017,Chemistry 1B,Thursday,15,00,15,50,Kings Buildings,
CHEM08017,Chemistry 1B,Thursday,16,10,17,00,Kings Buildings,
CHEM08017,Chemistry 1B,Thursday,14,00,14,50,Kings Buildings,
CHEM08017,Chemistry 1B,Monday,09,00,09,50,Central,
CHEM08017,Chemistry 1B,Wednesday,09,00,09,50,Central,
CHEM08017,Chemistry 1B,Friday,09,00,09,50,Central,
CHEM08017,Chemistry 1B,Tuesday,14,00,17,00,Kings Buildings,
CHEM08017,Chemistry 1B,Friday,14,00,17,00,Kings Buildings,
CHEM08017,Chemistry 1B,Tuesday,09,00,12,00,Kings Buildings,
ELCS08027,Swedish 1,Tuesday,17,10,18,00,No Location Data Available,
ELCS08027,Swedish 1,Thursday,17,10,18,00,No Location Data Available,
ELCS08027,Swedish 1,Monday,17,10,18,00,No Location Data Available,
MATH10010,Mathematical Education,Wednesday,14,10,15,00,Kings Buildings,
MATH10010,Mathematical Education,Wednesday,15,10,16,00,Kings Buildings,
MATH10010,Mathematical Education,Wednesday,09,00,10,50,Kings Buildings,
MATH10010,Mathematical Education,Thursday,14,10,15,00,Kings Buildings,
LAWS10059,Gender and Justice,Wednesday,09,00,10,50,Central,
LAWS10059,Gender and Justice,Monday,14,00,15,50,No Location Data Available,
PHYS10072,Astrophysics 3,Monday,11,10,13,00,No Location Data Available,
PHYS10072,Astrophysics 3,Monday,14,10,15,00,No Location Data Available,
PHYS10072,Astrophysics 3,Friday,12,10,13,00,No Location Data Available,
PHYS10072,Astrophysics 3,Tuesday,12,10,13,00,No Location Data Available,
ENLI08014,Scottish Literature 2a (VS1),Wednesday,12,10,13,00,Central,
ENLI08014,Scottish Literature 2a (VS1),Thursday,12,10,13,00,Central,
ENLI08014,Scottish Literature 2a (VS1),Monday,12,10,13,00,Central,
BUST08001,Business Studies 1,Thursday,17,10,18,00,No Location Data Available,
BUST08001,Business Studies 1,Monday,17,10,18,00,No Location Data Available,
BUST08001,Business Studies 1,Tuesday,17,10,18,00,No Location Data Available,
MUSI08024,Introductory Musical Acoustics,Monday,14,00,14,50,Central,
MUSI08024,Introductory Musical Acoustics,Friday,14,00,14,50,Central,
BUST08003,Principles of Finance,Thursday,10,00,10,50,Central,
BUST08003,Principles of Finance,Monday,10,00,10,50,Central,
PHYS11024,Statistical Physics,Tuesday,09,00,09,50,Kings Buildings,
PHYS11024,Statistical Physics,Friday,09,00,09,50,Kings Buildings,
PHYS11024,Statistical Physics,Monday,15,10,17,00,No Location Data Available,
PHYS11024,Statistical Physics,Tuesday,09,00,09,50,No Location Data Available,
PHYS11024,Statistical Physics,Friday,09,00,09,50,No Location Data Available,
PHYS11024,Statistical Physics,Monday,15,10,17,00,No Location Data Available,
CHEM08019,Chemistry 2,Tuesday,14,00,17,00,Kings Buildings,
CHEM08019,Chemistry 2,Tuesday,14,00,17,00,Kings Buildings,
CHEM08019,Chemistry 2,Monday,09,00,12,00,Kings Buildings,
CHEM08019,Chemistry 2,Monday,14,00,17,00,Kings Buildings,
CHEM08019,Chemistry 2,Thursday,09,00,12,00,Kings Buildings,
CHEM08019,Chemistry 2,Tuesday,09,00,12,00,Kings Buildings,
CHEM08019,Chemistry 2,Wednesday,14,00,17,00,Kings Buildings,
CHEM08019,Chemistry 2,Wednesday,09,00,12,00,Kings Buildings,
CHEM08019,Chemistry 2,Thursday,14,00,17,00,Kings Buildings,
CHEM08019,Chemistry 2,Monday,09,00,12,00,Kings Buildings,
CHEM08019,Chemistry 2,Monday,14,00,17,00,Kings Buildings,
CHEM08019,Chemistry 2,Thursday,09,00,12,00,Kings Buildings,
CHEM08019,Chemistry 2,Tuesday,09,00,12,00,Kings Buildings,
CHEM08019,Chemistry 2,Thursday,14,00,17,00,Kings Buildings,
CHEM08019,Chemistry 2,Wednesday,14,00,17,00,Kings Buildings,
CHEM08019,Chemistry 2,Monday,13,10,14,00,Kings Buildings,
CHEM08019,Chemistry 2,Tuesday,13,10,14,00,Kings Buildings,
CHEM08019,Chemistry 2,Thursday,13,10,14,00,Kings Buildings,
CHEM08019,Chemistry 2,Wednesday,09,00,12,00,Kings Buildings,
LASC08019,LEL2C: English in Time and Space,Tuesday,16,10,17,00,No Location Data Available,
LASC08019,LEL2C: English in Time and Space,Friday,16,10,17,00,No Location Data Available,
LASC08019,LEL2C: English in Time and Space,Thursday,16,10,17,00,No Location Data Available,
GREE08004,Greek 1B,Wednesday,11,10,12,00,Central,
GREE08004,Greek 1B,Monday,11,10,12,00,Central,
GREE08004,Greek 1B,Tuesday,11,10,12,00,Central,
GREE08004,Greek 1B,Thursday,11,10,12,00,Central,
GESC11005,Research Methods and Transferable Skills,Monday,10,00,10,50,Kings Buildings,
GESC11005,Research Methods and Transferable Skills,Monday,11,10,12,00,Kings Buildings,
ENLI10351,The Making of Modern Fantasy,Friday,10,00,12,00,Central,
ENLI10351,The Making of Modern Fantasy,Friday,14,00,15,50,Central,
SCIL08007,Sociology 2: Transformations of Self and Society,Thursday,14,00,14,50,Central,
SCIL08007,Sociology 2: Transformations of Self and Society,Monday,14,00,14,50,Central,
GREE08005,Greek 1C,Monday,11,10,12,00,Central,
GREE08005,Greek 1C,Wednesday,11,10,12,00,Central,
GREE08005,Greek 1C,Tuesday,11,10,12,00,Central,
GREE08005,Greek 1C,Thursday,11,10,12,00,Central,
IMES10040,Arabic 4,Tuesday,10,00,12,00,Central,
IMES10040,Arabic 4,Wednesday,14,00,14,50,Central,
IMES10040,Arabic 4,Wednesday,13,10,13,50,Central,
IMES10040,Arabic 4,Wednesday,10,00,12,00,No Location Data Available,
NUST08004,Health and Society 2A,Tuesday,12,10,13,00,Central,
NUST08004,Health and Society 2A,Monday,12,10,13,00,Central,
LATI10030,Latin 2Ha,Tuesday,10,00,10,50,Central,
LATI10030,Latin 2Ha,Wednesday,10,00,10,50,Central,
LATI10030,Latin 2Ha,Thursday,10,00,10,50,Central,
LATI10030,Latin 2Ha,Friday,10,00,10,50,Central,
ENLI10101,Stories for Boys,Thursday,16,10,18,00,No Location Data Available,
ENLI10101,Stories for Boys,Thursday,16,10,18,00,No Location Data Available,
CHEM10023,Sustainable Chemistry Level 10,Thursday,12,10,13,50,Kings Buildings,
CHEM10023,Sustainable Chemistry Level 10,Friday,12,10,13,00,Kings Buildings,
CHEM10023,Sustainable Chemistry Level 10,Tuesday,12,10,13,00,Kings Buildings,
INFR10005,Intelligent Autonomous Robotics (Level 10),Thursday,09,00,09,50,No Location Data Available,
INFR10005,Intelligent Autonomous Robotics (Level 10),Monday,09,00,09,50,No Location Data Available,
INFR10005,Intelligent Autonomous Robotics (Level 10),Thursday,09,00,09,50,Central,
INFR10005,Intelligent Autonomous Robotics (Level 10),Monday,09,00,09,50,Central,
BIST08016,Reading the New Testament,Thursday,11,10,12,00,No Location Data Available,
BIST08016,Reading the New Testament,Monday,11,10,12,00,No Location Data Available,
BIST08016,Reading the New Testament,Tuesday,11,10,12,00,No Location Data Available,
SSPS08005,Scotland: Society and Politics,Thursday,11,10,12,00,No Location Data Available,
SSPS08005,Scotland: Society and Politics,Monday,11,10,12,00,No Location Data Available,
CIVE08011,Water Resources 2,Thursday,12,10,13,00,No Location Data Available,
CIVE08011,Water Resources 2,Wednesday,10,00,10,50,Kings Buildings,
CIVE08011,Water Resources 2,Thursday,14,10,15,00,Kings Buildings,
IMES08033,Islamic History A: The Formation of the Islamic World,Monday,12,10,13,00,No Location Data Available,
IMES08033,Islamic History A: The Formation of the Islamic World,Thursday,12,10,13,00,No Location Data Available,
IMES08033,Islamic History A: The Formation of the Islamic World,Tuesday,12,10,13,00,No Location Data Available,
ECHS08009,Social Christianity in Britain Germany and the United States 1848-1930,Monday,14,00,14,50,No Location Data Available,
ECHS08009,Social Christianity in Britain Germany and the United States 1848-1930,Tuesday,14,00,14,50,No Location Data Available,
ECHS08009,Social Christianity in Britain Germany and the United States 1848-1930,Thursday,14,00,14,50,No Location Data Available,
ELEE10025,Electromagnetics 4: RF Engineering,Tuesday,14,10,15,00,No Location Data Available,
ELEE10025,Electromagnetics 4: RF Engineering,Thursday,14,10,15,00,No Location Data Available,
ELEE10025,Electromagnetics 4: RF Engineering,Friday,14,10,15,00,No Location Data Available,
BIST10043,Old Testament Theology,Monday,14,00,14,50,No Location Data Available,
BIST10043,Old Testament Theology,Tuesday,12,10,13,00,No Location Data Available,
SCEE08002,Structural Mechanics 2A,Thursday,14,00,17,00,Kings Buildings,
SCEE08002,Structural Mechanics 2A,Thursday,12,10,13,00,Kings Buildings,
SCEE08002,Structural Mechanics 2A,Wednesday,11,10,13,00,Kings Buildings,
SCEE08002,Structural Mechanics 2A,Monday,14,00,17,00,Kings Buildings,
SCEE08002,Structural Mechanics 2A,Friday,14,00,17,00,Kings Buildings,
GEGR08007,Human Geography,Monday,15,00,15,50,Central,
GEGR08007,Human Geography,Tuesday,15,00,15,50,Central,
GEGR08007,Human Geography,Thursday,14,00,14,50,Central,
GEGR08007,Human Geography,Thursday,15,00,15,50,Central,
GEGR08007,Human Geography,Wednesday,13,10,13,50,No Location Data Available,
GEGR08007,Human Geography,Monday,14,00,14,50,Central,
GEGR08007,Human Geography,Tuesday,14,00,14,50,Central,
GEGR08007,Human Geography,Monday,11,10,12,00,Central,
GEGR08007,Human Geography,Wednesday,11,10,12,00,Central,
GEGR08007,Human Geography,Friday,14,00,14,50,Central,
THET08015,Ethics and Society,Monday,14,00,14,50,No Location Data Available,
THET08015,Ethics and Society,Tuesday,14,00,14,50,No Location Data Available,
THET08015,Ethics and Society,Friday,14,00,14,50,No Location Data Available,
THET08015,Ethics and Society,Thursday,14,00,14,50,No Location Data Available,
CIVE08016,Analytical Techniques for Civil Engineers 2,Tuesday,11,10,12,00,Kings Buildings,
CIVE08016,Analytical Techniques for Civil Engineers 2,Tuesday,12,10,13,00,Kings Buildings,
CIVE08016,Analytical Techniques for Civil Engineers 2,Friday,11,10,12,00,Kings Buildings,
MECE08009,Dynamics 2,Thursday,15,10,16,00,Kings Buildings,
MECE08009,Dynamics 2,Thursday,11,10,12,00,Kings Buildings,
MECE08009,Dynamics 2,Tuesday,11,10,12,00,Kings Buildings,
MECE08009,Dynamics 2,Monday,14,10,17,00,Kings Buildings,
MECE08009,Dynamics 2,Thursday,16,10,17,00,Kings Buildings,
MECE08009,Dynamics 2,Friday,14,10,17,00,Kings Buildings,
MECE08009,Dynamics 2,Thursday,14,10,15,00,Kings Buildings,
BIST08013,Introducing Biblical Hebrew,Thursday,10,00,10,50,No Location Data Available,
BIST08013,Introducing Biblical Hebrew,Monday,10,00,10,50,No Location Data Available,
BIST08013,Introducing Biblical Hebrew,Friday,10,00,10,50,No Location Data Available,
BIST08013,Introducing Biblical Hebrew,Tuesday,10,00,10,50,No Location Data Available,
ECNM10056,Applications of Econometrics,Thursday,14,00,15,50,Central,
ECNM10056,Applications of Econometrics,Friday,14,00,15,50,Central,
ELCH07003,Intermediate Spanish Language,Monday,14,00,15,50,Central,
ELCH07003,Intermediate Spanish Language,Wednesday,14,00,15,50,Central,
ELCH07003,Intermediate Spanish Language,Thursday,16,10,18,00,No Location Data Available,
ELCH07003,Intermediate Spanish Language,Tuesday,16,10,18,00,No Location Data Available,
IMES08010,Turkish 1,Tuesday,09,00,10,50,Central,
IMES08010,Turkish 1,Friday,09,00,10,50,Central,
HIST08001,British History 1,Tuesday,11,10,12,00,Central,
HIST08001,British History 1,Friday,11,10,12,00,Central,
HIST08001,British History 1,Wednesday,11,10,12,00,Central,
SCWR08003,Social Work: Making A Difference,Tuesday,11,10,12,00,Central,
SCWR08003,Social Work: Making A Difference,Thursday,11,10,12,00,Central,
CACA10018,Early and Archaic Greek Art and Archaeology,Wednesday,11,10,12,00,No Location Data Available,
CACA10018,Early and Archaic Greek Art and Archaeology,Tuesday,11,10,12,00,No Location Data Available,
CACA10018,Early and Archaic Greek Art and Archaeology,Wednesday,11,10,12,00,No Location Data Available,
CACA10018,Early and Archaic Greek Art and Archaeology,Tuesday,11,10,12,00,No Location Data Available,
IMES07001,Introductory Arabic Language,Thursday,16,10,18,00,No Location Data Available,
IMES07001,Introductory Arabic Language,Tuesday,16,10,18,00,No Location Data Available,
INFR10017,Querying and Storing XML,Tuesday,11,10,12,00,No Location Data Available,
INFR10017,Querying and Storing XML,Friday,11,10,12,00,No Location Data Available,
INFR10033,Machine Translation (Level 10),Monday,16,10,17,00,Central,
INFR10033,Machine Translation (Level 10),Thursday,16,10,17,00,Central,
PHYS10080,Astronomical Statistics and Measurement,Thursday,11,10,12,00,OTHER,
PHYS10080,Astronomical Statistics and Measurement,Monday,11,10,12,00,OTHER,
PHYS10080,Astronomical Statistics and Measurement,Thursday,11,10,12,00,No Location Data Available,
PHYS10080,Astronomical Statistics and Measurement,Monday,11,10,12,00,No Location Data Available,
PHYS11020,Radiation and Matter,Monday,14,10,16,00,No Location Data Available,
PHYS11020,Radiation and Matter,Friday,14,10,15,00,No Location Data Available,
PHYS11020,Radiation and Matter,Tuesday,14,10,15,00,No Location Data Available,
IMES08022,Arabic 2 (VS1),Tuesday,14,00,14,50,Central,
IMES08022,Arabic 2 (VS1),Friday,14,00,14,50,Central,
IMES08022,Arabic 2 (VS1),Thursday,14,00,14,50,Central,
IMES08022,Arabic 2 (VS1),Monday,14,00,14,50,Central,
IMMU10002,Autoimmune and Allergic Diseases,Thursday,09,00,13,00,Kings Buildings,
IMMU10002,Autoimmune and Allergic Diseases,Monday,09,00,13,00,Kings Buildings,
SCHI10065,Celt and Saxon: the British Isles 250-750,Friday,09,00,10,50,No Location Data Available,
SCHI10065,Celt and Saxon: the British Isles 250-750,Friday,09,00,10,50,No Location Data Available,
ENLI10274,Fairy Tales,Wednesday,10,00,12,00,Central,
ENLI10274,Fairy Tales,Tuesday,14,00,15,50,Central,
ZLGY10020,Animal-Plant Interaction,Wednesday,09,30,10,50,No Location Data Available,
ZLGY10020,Animal-Plant Interaction,Monday,09,30,10,50,No Location Data Available,
EDUA10052,Childrens Fiction,Friday,09,00,12,00,Central,
EDUA10052,Childrens Fiction,Friday,09,00,12,00,Central,
BICH10009,Membrane Biology,Friday,11,10,12,00,Central,
BICH10009,Membrane Biology,Friday,09,00,09,50,Central,
ELCH07002,Introductory Spanish Language,Thursday,14,10,16,00,No Location Data Available,
ELCH07002,Introductory Spanish Language,Thursday,15,10,17,00,No Location Data Available,
ELCH07002,Introductory Spanish Language,Tuesday,15,10,17,00,No Location Data Available,
ELCH07002,Introductory Spanish Language,Tuesday,14,10,16,00,No Location Data Available,
ELCH07002,Introductory Spanish Language,Monday,14,10,16,00,No Location Data Available,
ELCH07002,Introductory Spanish Language,Wednesday,14,10,16,00,No Location Data Available,
ELCH07002,Introductory Spanish Language,Monday,16,10,18,00,No Location Data Available,
ELCH07002,Introductory Spanish Language,Wednesday,16,10,18,00,No Location Data Available,
LASC08020,LEL2D: Cross-linguistic Variation: Limits and Theories,Wednesday,10,00,10,50,No Location Data Available,
LASC08020,LEL2D: Cross-linguistic Variation: Limits and Theories,Monday,10,00,10,50,No Location Data Available,
LASC08020,LEL2D: Cross-linguistic Variation: Limits and Theories,Friday,10,00,10,50,No Location Data Available,
BUST08005,Business Economics,Monday,12,10,13,00,Central,
BUST08005,Business Economics,Thursday,12,10,13,00,Central,
LAWS08117,European Union Law B Ordinary,Thursday,09,00,09,50,No Location Data Available,
LAWS08117,European Union Law B Ordinary,Tuesday,09,00,09,50,No Location Data Available,
ECNM10061,Development Economics,Thursday,11,10,13,00,No Location Data Available,
ECNM10061,Development Economics,Thursday,11,10,13,00,No Location Data Available,
ELEE10006,Digital Communications 4,Thursday,12,10,13,00,No Location Data Available,
ELEE10006,Digital Communications 4,Wednesday,12,10,13,00,Kings Buildings,
ELEE10006,Digital Communications 4,Monday,12,10,13,00,Kings Buildings,
PHYS08047,Physics of Fields,Thursday,09,00,09,50,No Location Data Available,
PHYS08047,Physics of Fields,Monday,09,00,09,50,No Location Data Available,
PHYS08047,Physics of Fields,Wednesday,11,10,13,00,Kings Buildings,
PHYS08047,Physics of Fields,Wednesday,09,00,10,50,Kings Buildings,
PHYS08047,Physics of Fields,Wednesday,14,10,16,00,Kings Buildings,
ZLGY10002,Arthropod Biology,Tuesday,11,10,12,00,Kings Buildings,
ZLGY10002,Arthropod Biology,Tuesday,09,00,10,50,Kings Buildings,
ELCG10017,German Language Paper 2,Tuesday,09,00,09,50,Central,
ELCG10017,German Language Paper 2,Thursday,09,00,09,50,Central,
ASST08006,Japanese 2A,Wednesday,11,10,12,00,No Location Data Available,
ASST08006,Japanese 2A,Tuesday,11,10,12,00,No Location Data Available,
ASST08006,Japanese 2A,Monday,11,10,12,00,No Location Data Available,
ASST08006,Japanese 2A,Tuesday,10,00,10,50,Central,
ASST08006,Japanese 2A,Monday,15,00,15,50,Central,
ASST08006,Japanese 2A,Monday,14,00,14,50,Central,
ASST08006,Japanese 2A,Friday,14,00,14,50,Central,
ASST08006,Japanese 2A,Friday,15,00,15,50,Central,
ASST08006,Japanese 2A,Thursday,11,10,12,00,No Location Data Available,
MATH10036,Number Theory,Friday,12,10,13,00,No Location Data Available,
MATH10036,Number Theory,Tuesday,12,10,13,00,No Location Data Available,
MATH10036,Number Theory,Friday,10,00,10,50,No Location Data Available,
ENLI10328,Republican Visions,Tuesday,14,00,15,50,Central,
ENLI10328,Republican Visions,Tuesday,10,00,12,00,Central,
ELCG09006,Russian 3 Language (VS),Tuesday,10,00,10,50,Central,
ELCG09006,Russian 3 Language (VS),Thursday,11,10,12,00,Central,
ELCG09006,Russian 3 Language (VS),Thursday,15,00,15,50,Central,
PHYS11007,Advanced Statistical Physics,Wednesday,14,10,16,00,Kings Buildings,
PHYS11007,Advanced Statistical Physics,Thursday,15,10,16,00,No Location Data Available,
PHYS11007,Advanced Statistical Physics,Monday,15,10,16,00,No Location Data Available,
PHYS11007,Advanced Statistical Physics,Wednesday,14,10,16,00,Kings Buildings,
PHYS11007,Advanced Statistical Physics,Thursday,15,10,16,00,Kings Buildings,
PHYS11007,Advanced Statistical Physics,Monday,15,10,16,00,Kings Buildings,
LASC08021,LEL2E: Structure and History of European Languages,Thursday,12,10,13,00,No Location Data Available,
LASC08021,LEL2E: Structure and History of European Languages,Wednesday,12,10,13,00,No Location Data Available,
LASC08021,LEL2E: Structure and History of European Languages,Monday,12,10,13,00,No Location Data Available,
IMES08027,Arabic 1b,Monday,14,00,14,50,Central,
IMES08027,Arabic 1b,Tuesday,14,00,14,50,Central,
IMES08027,Arabic 1b,Thursday,14,00,14,50,Central,
